!!!!!ΣΗΜΑΝΤΙΚΑ!!!!!,
1)  ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,
"2) Το αρχείο πρέπει να έχει ΥΠΟΧΡΕΩΤΙΚΑ όνομα ButtonNames και να είναι  Υπολογιστικό Φύλλο .csv διαχωρισμένο με ','(ΚΟΜΜΑ) στην εξαγωγή του αρχείου και UTF-8 κωδικοποίηση",
"3) όταν κάνετε εξαγωγή, σιγουρευτείτε ότι ονομάζετε το αρχείο ButtonNames.csv (το.csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).",
4) ΔΕΝ ΠΕΙΡΑΖΟΥΜΕ την ΠΡΩΤΗ ΣΤΗΛΗ,
"5) Η ΠΡΩΤΗ ΣΤΗΛΗ αναπαριστά την αληθινή αίθουσα στο κτήριο και οτιδήποτε γραφτεί στην ΕΠΟΜΕΝΗ ΣΤΗΛΗ είναι η πληροφορία του κουμπιού που αναπαριστά την συγκεκριμένη αίθουσα. Δηλαδή για την αίθουσα Α113, βρίσκουμε το Α113 στην αριστερή(1η) στήλη και από δίπλα γράφουμε ό,τι θέλουμε να αναγράφεται στο κουμπί στα μενού που θα έχει σύνδεση με αυτήν την αίθουσα, π.χ Α113 - Lecture Room - Αίθουσα Διδασκαλίας",
6) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΤΗΝ ΣΕΙΡΑ ΤΩΝ ΣΤΗΛΩΝ,
7) Στην 2η ΣΤΗΛΗ μπορεί να γραφτεί οτιδήποτε,
"8)Πάντα ελέγχουμε όταν κάνουμε αλλαγές, μετά από ένα 5-10λεπτο, ότι οι αλλαγές ανανεώθηκαν στην ιστοσελίδα και δεν υπάρχουν προβλήματα. (Εννοείται ελέγχουμε μετά το ανέβασμα του αρχείου στο repository)",
9) Ελέγχουμε τα κουμπία που αλλάζουμε μέσα στα μενού στις αίθουσες του κτηρίου(όροφοι 1-3) να σιγουρευτούμε ότι έγιναν σωστά οι αλλαγές.,
10) Ελέγχουμε ότι το αρχείο δεν έχει παράξενα σύμβολα μετά την εξαγωγή,
11) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΠΡΙΝ ΚΑΙ ΤΗΝ ΓΡΑΜΜΗ 17. Επεξεργασία στις γραμμές από την ΓΡΑΜΜΗ 18 και κάτω.,
12) ΔΕΝ αλλάζουμε την Γραμμή 17 - Κατηγορίες Στηλών,
13) Κάνουμε εξαγωγή αρχείο CSV-Υπολογιστικό Φύλλο με UTF-8 ,
"14) ΥΠΟΧΡΕΩΤΙΚΑ διαχωρισμένο με ','(ΚΟΜΜΑ): Εξαγωγή/Αποθήκευση Ως CSV UTF-8 (Comma delimited)",
15) Το αρχείο πρέπει να είναι CSV και η τελική του ονομασία να είναι ButtonNames.csv (το.csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).,
!!!!!ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΑΥΤΗΝ ΤΗΝ ΣΤΗΛΗ!!!!!,ΠΛΗΡΟΦΟΡΙΕΣ ΚΟΥΜΠΙΩΝ
Level 1 - A101,A101: Εργαστήριο Τηλεπικοινωνιών και Δικτύων / Networking and Communications Lab
Level 1 - A103,A103: Εργαστήριο Ψηφιακής Σχεδίασης / Digital Design Lab - 2
Level 1 - A105,A105: Εργαστήριο Ψηφιακής Σχεδίασης / Digital Design Lab - 2
Level 1 - A107,A107: Εργαστήριο Ψηφιακής Σχεδίασης / Digital Design Lab - 1
Level 1 - A109,A109: Εργαστήριο Ψηφιακής Σχεδίασης /  Digital Design Lab  - 1
Level 1 - A111,A111: Αίθουσα Διδασκαλίας / Lecture Room - A1
Level 1 - A113,A113: Αίθουσα Διδασκαλίας / Lecture Room - A1
Level 1 - A115,"A115: <color=#006BFF>Τμήμα Επιστήμης και Μηχανικής Υλικών / Department of Materials Science and Engineering</color> - Αίθουσα Διδασκαλίας / Lecture Room , A2"
Level 1 - A117,"A117: <color=#006BFF>Τμήμα Επιστήμης και Μηχανικής Υλικών / Department of Materials Science and Engineering</color> - Αίθουσα Διδασκαλίας / Lecture Room , A2"
Level 1 - A119,A119: Αίθουσα Διδασκαλίας / Lecture Room - A3
Level 1 - A121,A121: Αίθουσα Διδασκαλίας / Lecture Room - A3
Level 1 - A123,A123: Αίθουσα Διδασκαλίας / Lecture Room - A4
Level 1 - A125,A125: Αίθουσα Διδασκαλίας / Lecture Room - A4
Level 1 - B101,B101
Level 1 - B102,B102: Εκπαιδευτικό Εργαστήριο Η/Υ / Computer Room
Level 1 - B105,B103
Level 1 - B104,B104: Εκπαιδευτικό Εργαστήριο Η/Υ / Computer Room
Level 1 - B105,B105
